name,logo,mitra_brand_name,location,link
"Efficiency Energy Enthusiast (Management Energy Specialist, Data Analyst and Junior Auditor Energy )",https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_fd27246c-fb94-44d2-b8bc-7d91041a83bb.png,Kementerian Energi Dan Sumber Daya Mineral,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0bdb6c85-4efe-437a-9b49-413b92b60ccd/905474e9-f2f2-11ee-9129-da28f9df4d8d
Financial Development: Finance & Sustainable Fundraising,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kota Makassar,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/13366996-0463-11ef-9e17-0a54edb93563
Financial Development: Finance,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kota Bandar Lampung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/95e88b8d-044a-11ef-bb7f-6ac06bc5928b
Financial Development: Finance,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kota Serang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/25e8ee5a-0451-11ef-866a-ca0bbc909a4f
Financial Development: Finance & Sustainable Fundraising,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kota Mataram,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/654644ef-0479-11ef-8394-36f764739585
Financial Development: Finance & Sustainable Fundraising,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kota Pekanbaru,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/42b66ae6-0476-11ef-9e17-0a54edb93563
Financial Development: Finance,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kota Medan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/36eac8eb-03eb-11ef-9b3e-022ae5f04a49
Financial Development: Finance & Sustainable Fundraising,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/d7225354-045b-11ef-9e17-0a54edb93563
Financial Development: Finance & Sustainable Fundraising,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kota Palembang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/c8ee0e31-043f-11ef-a18b-c22282289220
Financial Development: Finance & Sustainable Fundraising,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kota Padang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/d8466821-046c-11ef-9b3e-022ae5f04a49
Financial Development: Finance & Sustainable Fundraising,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/861078f4-0455-11ef-bb7f-6ac06bc5928b
Finance,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_6b8e74a1-3d29-4edb-b977-9fe301b3a34c.png,PND Ice Making System,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/88741943-f3d5-4fd6-b8c1-b0c737280957/8d5c30aa-02f5-11ef-bb7f-6ac06bc5928b
Financial Report and Verification & Treasury Officer - PT Len Rekaprima Semesta,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_93c8881a-815c-4c7e-9265-4daae8e993e8.jpg,Defend ID,Kota Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/8135ee87-dd9e-4354-ba00-4b8d4fc120db/fb63aa5d-0495-11ef-9b3e-022ae5f04a49
Finance - Pajak & Accounting,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_8991942d-414d-43e6-8467-c6ba4c9b30e7.png,Kobi Education,Kota Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/f955ae2c-d5f9-4bd3-b7d8-f3c5f3adc323/bf999141-fbd0-11ee-877d-ee833f3bb5c3
Finance AR,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_8991942d-414d-43e6-8467-c6ba4c9b30e7.png,Kobi Education,Kota Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/f955ae2c-d5f9-4bd3-b7d8-f3c5f3adc323/acf299d3-fbd0-11ee-877d-ee833f3bb5c3
Finance AP,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_8991942d-414d-43e6-8467-c6ba4c9b30e7.png,Kobi Education,Kota Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/f955ae2c-d5f9-4bd3-b7d8-f3c5f3adc323/a288bd98-fbd0-11ee-b3c3-42bfe4d30846
Finance & Accounting Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_e247dd6b-c26c-4ead-8af4-7d28eb8d6462.png,RINGKAS,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/1c65ab60-8b64-4a70-9422-daddef4d9782/3a6bd846-02cd-11ef-9dcc-be99d12807bd
Finance Accounting & Tax ,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_40711b82-62bf-403d-8d0e-a8b174749fd0.png,Sagara Technology,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/00037ae0-9dae-4d54-aeef-c0b418675a47/7f504d2c-e4db-11ee-94f2-b2ad01318d16
Finance - Finance Assistant Support,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/362b189e-fe12-11ee-8a41-f67d68bd6616
DM - Finance & Accounting,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/f84df7be-00d0-11ef-ac63-7e456e52b7d0
DYS - Finance and Accounting,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/8743abbd-00c9-11ef-9733-ca7bef2c0196
Tax Assistant,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c48811fd-b4a4-478c-b09e-50c60a43d9e3.png,Gold Coin Group - Aboitiz Company,Kota Bekasi,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/fa33d5bb-586b-4d2a-aba5-dddabdbc2da7/00c20506-fd3d-11ee-9648-aa9bf47860c9
Accounting,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c48811fd-b4a4-478c-b09e-50c60a43d9e3.png,Gold Coin Group - Aboitiz Company,Kota Bekasi,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/fa33d5bb-586b-4d2a-aba5-dddabdbc2da7/8d3ff57a-fd6d-11ee-8a41-f67d68bd6616
Finance Assistant,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c48811fd-b4a4-478c-b09e-50c60a43d9e3.png,Gold Coin Group - Aboitiz Company,Kota Bekasi,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/fa33d5bb-586b-4d2a-aba5-dddabdbc2da7/e2e3c29f-0156-11ef-9733-ca7bef2c0196
ULIP Finance,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_a3978895-eede-4ec7-b6a2-fdec247e0242.png,Unilever Indonesia,Kab. Tangerang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d51cb5a8-0ee1-4eab-8ae1-5c0316aae0b1/3e4a18b1-f253-11ee-9129-da28f9df4d8d
AR Finance Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_25022063-85e1-406f-8eaa-0753267eca7b.png,RedDoorz,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9af2f24b-f9c4-4597-8f85-dd83dacba8ad/2e46d2f9-dd23-11ee-9fa7-1e338b798a67
AR Finance (Property) Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_25022063-85e1-406f-8eaa-0753267eca7b.png,RedDoorz,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9af2f24b-f9c4-4597-8f85-dd83dacba8ad/b90c7a65-dd23-11ee-9fa7-1e338b798a67
