name,logo,mitra_brand_name,location,link
HR Performance,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_6b8e74a1-3d29-4edb-b977-9fe301b3a34c.png,PND Ice Making System,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/88741943-f3d5-4fd6-b8c1-b0c737280957/0ecd360d-02f4-11ef-9b3e-022ae5f04a49
HR Engangement,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_6b8e74a1-3d29-4edb-b977-9fe301b3a34c.png,PND Ice Making System,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/88741943-f3d5-4fd6-b8c1-b0c737280957/bc90273f-02f2-11ef-bb7f-6ac06bc5928b
 HR Recruitment & Admin,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_6b8e74a1-3d29-4edb-b977-9fe301b3a34c.png,PND Ice Making System,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/88741943-f3d5-4fd6-b8c1-b0c737280957/7198e898-02f0-11ef-bb7f-6ac06bc5928b
"Human Capital Support - PT Len Industri (Persero), PT Len Rekaprima Semesta",https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_93c8881a-815c-4c7e-9265-4daae8e993e8.jpg,Defend ID,Kota Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/8135ee87-dd9e-4354-ba00-4b8d4fc120db/0e402135-0495-11ef-bb03-ceeddaa1b367
Human Capital Policy & Strategic Support - PT Len Railway Systems,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_93c8881a-815c-4c7e-9265-4daae8e993e8.jpg,Defend ID,Kota Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/8135ee87-dd9e-4354-ba00-4b8d4fc120db/a301ef55-0497-11ef-8394-36f764739585
Talent Acquisition Assistant,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_8991942d-414d-43e6-8467-c6ba4c9b30e7.png,Kobi Education,Kota Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/f955ae2c-d5f9-4bd3-b7d8-f3c5f3adc323/2815914c-fbc1-11ee-9fe2-f6628d9e23b0
HR Generalist Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_a5c57736-25d1-424b-a4e0-f9fc1fb479b8.png,SMS Finance,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ee7258bd-be6f-4d1f-b787-e221d625d218/3dc41cbe-03aa-11ef-bf8b-96b9528eb23b
Talent Acquisition Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_637960af-25bc-4171-8942-cc69398d95c3.png,Neobank,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/fa5a57c5-f175-48a2-8d99-e4814c167e5b/de13b348-048c-11ef-9488-b6e639b3c95d
HR Services Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_637960af-25bc-4171-8942-cc69398d95c3.png,Neobank,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/fa5a57c5-f175-48a2-8d99-e4814c167e5b/6ce9a84c-048f-11ef-9b3e-022ae5f04a49
Human Resources,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_40711b82-62bf-403d-8d0e-a8b174749fd0.png,Sagara Technology,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/00037ae0-9dae-4d54-aeef-c0b418675a47/59629ab1-e4ff-11ee-97b7-caa6484cdffa
Human Resource & Organizational Research,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_163b2134-6cf9-4241-8cf0-fed2f4f6f063.jpg,Lokalate,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ba6e4e73-3cc3-4cf2-9cf4-9090f73fe8af/119c4c4a-0464-11ef-8394-36f764739585
HRDIP - HR Expertise Support,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/71b1b61e-fe1b-11ee-b7e4-aeb57460eefa
