name,logo,mitra_brand_name,location,link
Full-stack Developer,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_3db63c36-b253-44e6-a1bd-58c357a43926.png,DLHK DIY,Kota Yogyakarta,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/4afed716-68b7-48d4-bddb-6fa73a3433bc/60636725-0494-11ef-9e17-0a54edb93563
Backend Programmer,,LLDIKTI IX,Kota Makassar,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d391d5b2-22ae-4ed2-be87-3139125b6c96/17fa594c-fb88-11ee-82ee-42fdda477ac9
Mobile Programmer,,LLDIKTI IX,Kota Makassar,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d391d5b2-22ae-4ed2-be87-3139125b6c96/0398a72c-0705-11ef-87a3-36f764739585
Full Stack Programmer,,LLDIKTI IX,Kota Makassar,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d391d5b2-22ae-4ed2-be87-3139125b6c96/9b0e5240-fb8a-11ee-a84a-72d99f96bee5
UI/UX,,LLDIKTI IX,Kota Makassar,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d391d5b2-22ae-4ed2-be87-3139125b6c96/3b45f3fc-fc55-11ee-877d-ee833f3bb5c3
Frontend Programmer,,LLDIKTI IX,Kota Makassar,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d391d5b2-22ae-4ed2-be87-3139125b6c96/05d2701e-f179-11ee-af0a-42786e9b30fb
Teknologi Informasi,,Jasa Marga,Kab. Pasuruan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/24f9fe17-d99f-4fae-bbbd-51645ee637a0/99623a01-fd0c-11ee-b3c3-42bfe4d30846
"Efficiency Energy Enthusiast (Management Energy Specialist, Data Analyst and Junior Auditor Energy )",https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_fd27246c-fb94-44d2-b8bc-7d91041a83bb.png,Kementerian Energi Dan Sumber Daya Mineral,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0bdb6c85-4efe-437a-9b49-413b92b60ccd/905474e9-f2f2-11ee-9129-da28f9df4d8d
IT Development,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/06b433cc-0456-11ef-9b3e-022ae5f04a49
IT Development,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kota Bandar Lampung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/b632138c-0446-11ef-9e17-0a54edb93563
IT Development,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kota Semarang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/21f0684c-0459-11ef-bb7f-6ac06bc5928b
IT Development,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kota Mataram,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/ff3574d6-0479-11ef-9e17-0a54edb93563
IT Development: Kota Yogyakarta (Yayasan Terbesar),https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kab. Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/26f33244-0480-11ef-9e17-0a54edb93563
IT Development,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kota Medan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/216b6dd2-03ec-11ef-bb7f-6ac06bc5928b
IT Development,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kota Padang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/3eec4c38-046e-11ef-bb7f-6ac06bc5928b
IT Development,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/2013bf63-03e2-11ef-96b8-72198b01cb46
IT Development: Product Designer,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/cdbbad48-fdff-11ee-865e-fae64678b8c1
IT Development: Software Engineer,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b3a748eb-d42e-4503-9121-4b24ad96111f.png,Bakrie Center Foundation,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e4eed999-a45f-4a7f-911f-ffd5a9019725/06e44c59-fe07-11ee-865e-fae64678b8c1
