name,logo,mitra_brand_name,location,link
Layanan Publik,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_3db63c36-b253-44e6-a1bd-58c357a43926.png,DLHK DIY,Kota Yogyakarta,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/4afed716-68b7-48d4-bddb-6fa73a3433bc/190c81c5-048a-11ef-9e17-0a54edb93563
Library Quality Analysis Staff and Integrated Public Services,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_3db63c36-b253-44e6-a1bd-58c357a43926.png,DLHK DIY,Kota Yogyakarta,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/4afed716-68b7-48d4-bddb-6fa73a3433bc/f2b8c752-04a0-11ef-8394-36f764739585
Pustakawan,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_3db63c36-b253-44e6-a1bd-58c357a43926.png,DLHK DIY,Kota Yogyakarta,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/4afed716-68b7-48d4-bddb-6fa73a3433bc/ecde7bfd-046b-11ef-a051-e22fd7765666
Pengelola Arsip,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_3db63c36-b253-44e6-a1bd-58c357a43926.png,DLHK DIY,Kota Yogyakarta,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/4afed716-68b7-48d4-bddb-6fa73a3433bc/1b162247-048d-11ef-bb03-ceeddaa1b367
Full-stack Developer,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_3db63c36-b253-44e6-a1bd-58c357a43926.png,DLHK DIY,Kota Yogyakarta,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/4afed716-68b7-48d4-bddb-6fa73a3433bc/60636725-0494-11ef-9e17-0a54edb93563
Staf Manajemen,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_3db63c36-b253-44e6-a1bd-58c357a43926.png,DLHK DIY,Kota Yogyakarta,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/4afed716-68b7-48d4-bddb-6fa73a3433bc/90665e71-0490-11ef-bb7f-6ac06bc5928b
Front Office,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_ba2de682-2faa-4a8b-acd2-7210cda4d02f.png,Grand Aston Puncak Hotel &Camp; Resort,Kab. Cianjur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/80e7fcde-3b3b-450c-b907-b664550e97e5/7db61812-03ce-11ef-8839-36f764739585
F&B Service,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_ba2de682-2faa-4a8b-acd2-7210cda4d02f.png,Grand Aston Puncak Hotel &Camp; Resort,Kab. Cianjur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/80e7fcde-3b3b-450c-b907-b664550e97e5/f3de013a-0b9f-11ef-9e93-9e11f0aae416
F&B Product,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_ba2de682-2faa-4a8b-acd2-7210cda4d02f.png,Grand Aston Puncak Hotel &Camp; Resort,Kab. Cianjur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/80e7fcde-3b3b-450c-b907-b664550e97e5/e54904e3-0ba1-11ef-9d42-ea66e796ff24
Backend Programmer,,LLDIKTI IX,Kota Makassar,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d391d5b2-22ae-4ed2-be87-3139125b6c96/17fa594c-fb88-11ee-82ee-42fdda477ac9
